,mc1,mc2,mc3,mc4,mc5
EX_but,61.37800000012567,7.671998061640238,15.51397339236746,0.06624760012573461,149.780101292881
EX_butso3,0.0,0.0,0.0,0.0,0.0
EX_ca2,-0.0044273449906313,-0.0078315190007742,-0.0063397898298944,-0.0031814935214242723,-0.003711870675829232
EX_cd2,0.0,0.0,0.0,0.0,0.0
EX_cellb,0.0,0.0,0.0,0.0,0.0
EX_cgly,-0.0010983525965002,-0.0077477511024426,-0.0039115623128509,-0.0001081774843214589,-0.0008402881618394531
EX_chlphncl,102.94600000012564,1.1025033237224309,94.01317348991938,392.7315463855689,94.74202358839966
EX_cholate,105.37400000012576,0.8293773928232895,80.96399473811607,1.6861820034780521,50.14601248399276
EX_chtbs,0.0,0.0,0.0,0.0,0.0
EX_cit,61.37800000012567,7.671998061640238,15.51397339236746,0.06624760012573461,149.780101292881
EX_cl,-0.0044273449906313,-0.0078315190007742,-0.0063397898298944,-0.0031814935214242723,-0.003711870675829232
EX_co2,338.9702429422962,399.97643706601593,389.89389403405926,399.97675103810866,348.7188426212301
EX_cobalt2,-0.0044273449906313,-0.0078315190007742,-0.0063397898298944,-0.0031814935213105855,-0.0037118706759429188
EX_core2,6.146000000125696,354.32601755817313,188.35974935739205,4.9148000001257515,1.363109937050126
EX_core3,6.146000000125696,354.32601755817313,188.35974935739205,4.9148000001257515,1.363109937050126
EX_core4,0.0,0.0,0.0,0.0,0.0
EX_core5,0.0,0.0,0.0,0.0,0.0
EX_core6,6.146000000125696,354.32601755817313,188.35974935739205,4.9148000001257515,1.363109937050126
EX_core7,0.0,0.0,0.0,0.0,0.0
EX_core8,0.0,0.0,0.0,0.0,0.0
EX_cro4,0.0,0.0,0.0,0.0,0.0
EX_csn,0.0,0.0,0.0,0.0,0.0
EX_cu2,-0.0044273449905176,-0.0078315190006605,-0.0063397898298944,-0.0031814935214242723,-0.0037118706759429188
EX_cys_L,277.1032000006285,399.8918744406351,379.5984909299766,399.89250639039165,296.724447472566
EX_cytd,67.52400000025136,361.99801561981326,203.8737227497595,4.981047600251486,151.143211229931
EX_czp,102.94600000012564,1.1025033237224309,94.01317348991938,392.7315463855689,94.74202358839966
EX_dad_2,67.52358769173156,361.9742073550135,203.86106658835135,4.980718022215456,151.14312030770884
EX_dcyt,1.25871124531659,35.94791174004604,0.7473113630657053,0.4935411395179017,0.6929328652723825
EX_ddca,12.221978881532095,1.5277048380596625,3.08924787239323,0.01319917505122703,29.825156610650083
EX_dextrin,0.0,0.0,0.0,0.0,0.0
EX_dgchol,0.0,0.0,0.0,0.0,0.0
EX_dgsn,67.28320765158014,348.09374801230547,196.4823963939264,4.788570256128082,151.09011173193198
EX_din,0.0,0.0,0.0,0.0,0.0
EX_dopa,102.94599999999993,1.102503323596693,94.01317348979364,392.7315463854429,94.74202358827392
EX_drib,0.0,0.0,0.0,0.0,0.0
EX_dsT_antigen,0.0,0.0,0.0,0.0,0.0
EX_ethso3,0.0,0.0,0.0,0.0,0.0
EX_etoh,112.77920000037716,391.1173730552716,270.07134404768976,7.09471240469702,52.202322591285565
EX_f1a,0.0,0.0,0.0,0.0,0.0
